name	version	license	license_source
gix-sec	0.11.0	MIT OR Apache-2.0	vendor/gix-sec/Cargo.toml
gix-shallow	0.4.0	MIT OR Apache-2.0	vendor/gix-shallow/Cargo.toml
gix-status	0.19.1	MIT OR Apache-2.0	vendor/gix-status/Cargo.toml
gix-submodule	0.19.1	MIT OR Apache-2.0	vendor/gix-submodule/Cargo.toml
gix-tempfile	17.1.0	MIT OR Apache-2.0	vendor/gix-tempfile/Cargo.toml
gix-trace	0.1.12	MIT OR Apache-2.0	vendor/gix-trace/Cargo.toml
gix-transport	0.47.0	MIT OR Apache-2.0	vendor/gix-transport/Cargo.toml
gix-traverse	0.46.1	MIT OR Apache-2.0	vendor/gix-traverse/Cargo.toml
gix-url	0.31.0	MIT OR Apache-2.0	vendor/gix-url/Cargo.toml
gix-utils	0.3.0	MIT OR Apache-2.0	vendor/gix-utils/Cargo.toml
gix-validate	0.10.0	MIT OR Apache-2.0	vendor/gix-validate/Cargo.toml
gix-worktree	0.41.0	MIT OR Apache-2.0	vendor/gix-worktree/Cargo.toml
guess_host_triple	0.1.4	MIT/Apache-2.0	vendor/guess_host_triple/Cargo.toml
hash32	0.3.1	MIT OR Apache-2.0	vendor/hash32/Cargo.toml
hashbrown	0.12.3	MIT OR Apache-2.0	vendor/hashbrown-0.12.3/Cargo.toml
hashbrown	0.14.5	MIT OR Apache-2.0	vendor/hashbrown-0.14.5/Cargo.toml
hashbrown	0.15.2	MIT OR Apache-2.0	vendor/hashbrown/Cargo.toml
hashlink	0.10.0	MIT OR Apache-2.0	vendor/hashlink/Cargo.toml
heapless	0.8.0	MIT OR Apache-2.0	vendor/heapless/Cargo.toml
heck	0.5.0	MIT OR Apache-2.0	vendor/heck/Cargo.toml
hermit-abi	0.4.0	MIT OR Apache-2.0	vendor/hermit-abi/Cargo.toml
hex	0.4.3	MIT OR Apache-2.0	vendor/hex/Cargo.toml
home	0.5.11	MIT OR Apache-2.0	vendor/home/Cargo.toml
iana-time-zone	0.1.63	MIT OR Apache-2.0	vendor/iana-time-zone/Cargo.toml
iana-time-zone-haiku	0.1.2	MIT OR Apache-2.0	vendor/iana-time-zone-haiku/Cargo.toml
icu_collections	1.5.0	Unicode-3.0	vendor/icu_collections/Cargo.toml
icu_locid	1.5.0	Unicode-3.0	vendor/icu_locid/Cargo.toml
icu_locid_transform	1.5.0	Unicode-3.0	vendor/icu_locid_transform/Cargo.toml
icu_locid_transform_data	1.5.1	Unicode-3.0	vendor/icu_locid_transform_data/Cargo.toml
icu_normalizer	1.5.0	Unicode-3.0	vendor/icu_normalizer/Cargo.toml
icu_normalizer_data	1.5.1	Unicode-3.0	vendor/icu_normalizer_data/Cargo.toml
icu_properties	1.5.1	Unicode-3.0	vendor/icu_properties/Cargo.toml
icu_properties_data	1.5.1	Unicode-3.0	vendor/icu_properties_data/Cargo.toml
icu_provider	1.5.0	Unicode-3.0	vendor/icu_provider/Cargo.toml
icu_provider_macros	1.5.0	Unicode-3.0	vendor/icu_provider_macros/Cargo.toml
idna	1.0.3	MIT OR Apache-2.0	vendor/idna/Cargo.toml
idna_adapter	1.2.0	Apache-2.0 OR MIT	vendor/idna_adapter/Cargo.toml
imara-diff	0.1.8	Apache-2.0	vendor/imara-diff/Cargo.toml
indexmap	1.9.3	Apache-2.0 OR MIT	vendor/indexmap-1.9.3/Cargo.toml
indexmap	2.9.0	Apache-2.0 OR MIT	vendor/indexmap/Cargo.toml
is-docker	0.2.0	MIT	vendor/is-docker/Cargo.toml
is-wsl	0.4.0	MIT	vendor/is-wsl/Cargo.toml
is_debug	1.1.0	MIT AND Apache-2.0	vendor/is_debug/Cargo.toml
is_terminal_polyfill	1.70.1	MIT OR Apache-2.0	vendor/is_terminal_polyfill/Cargo.toml
itertools	0.14.0	MIT OR Apache-2.0	vendor/itertools/Cargo.toml
itoa	1.0.15	MIT OR Apache-2.0	vendor/itoa/Cargo.toml
jiff	0.2.10	Unlicense OR MIT	vendor/jiff/Cargo.toml
jiff-static	0.2.10	Unlicense OR MIT	vendor/jiff-static/Cargo.toml
jiff-tzdb	0.1.4	Unlicense OR MIT	vendor/jiff-tzdb/Cargo.toml
jiff-tzdb-platform	0.1.3	Unlicense OR MIT	vendor/jiff-tzdb-platform/Cargo.toml
js-sys	0.3.77	MIT OR Apache-2.0	vendor/js-sys/Cargo.toml
jsonc-parser	0.26.2	MIT	vendor/jsonc-parser/Cargo.toml
kstring	2.0.2	MIT OR Apache-2.0	vendor/kstring/Cargo.toml
lazy_static	1.5.0	MIT OR Apache-2.0	vendor/lazy_static/Cargo.toml
lazycell	1.3.0	MIT/Apache-2.0	vendor/lazycell/Cargo.toml
libc	0.2.172	MIT OR Apache-2.0	vendor/libc/Cargo.toml
libredox	0.1.3	MIT	vendor/libredox/Cargo.toml
libz-rs-sys	0.5.0	Zlib	vendor/libz-rs-sys/Cargo.toml
linux-raw-sys	0.4.15	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	vendor/linux-raw-sys-0.4.15/Cargo.toml
linux-raw-sys	0.9.4	Apache-2.0 WITH LLVM-exception OR Apache-2.0 OR MIT	vendor/linux-raw-sys/Cargo.toml
litemap	0.7.5	Unicode-3.0	vendor/litemap/Cargo.toml
lock_api	0.4.12	MIT OR Apache-2.0	vendor/lock_api/Cargo.toml
log	0.4.27	MIT OR Apache-2.0	vendor/log/Cargo.toml
mac-notification-sys	0.6.4	MIT	vendor/mac-notification-sys/Cargo.toml
mach2	0.4.2	BSD-2-Clause OR MIT OR Apache-2.0	vendor/mach2/Cargo.toml
maybe-async	0.2.10	MIT	vendor/maybe-async/Cargo.toml
memchr	2.7.4	Unlicense OR MIT	vendor/memchr/Cargo.toml
memmap2	0.9.5	MIT OR Apache-2.0	vendor/memmap2/Cargo.toml
memmem	0.1.1	MIT/Apache-2.0	vendor/memmem/Cargo.toml
memoffset	0.9.1	MIT	vendor/memoffset/Cargo.toml
minimal-lexical	0.2.1	MIT/Apache-2.0	vendor/minimal-lexical/Cargo.toml
miniz_oxide	0.8.8	MIT OR Zlib OR Apache-2.0	vendor/miniz_oxide/Cargo.toml
mockall	0.13.1	MIT OR Apache-2.0	vendor/mockall/Cargo.toml
mockall_derive	0.13.1	MIT OR Apache-2.0	vendor/mockall_derive/Cargo.toml
nix	0.29.0	MIT	vendor/nix/Cargo.toml
nom	5.1.3	MIT	vendor/nom-5.1.3/Cargo.toml
nom	7.1.3	MIT	vendor/nom-7.1.3/Cargo.toml
nom	8.0.0	MIT	vendor/nom/Cargo.toml
notify-rust	4.11.7	MIT/Apache-2.0	vendor/notify-rust/Cargo.toml
nu-ansi-term	0.50.1	MIT	vendor/nu-ansi-term/Cargo.toml
num-conv	0.1.0	MIT OR Apache-2.0	vendor/num-conv/Cargo.toml
num-derive	0.3.3	MIT OR Apache-2.0	vendor/num-derive/Cargo.toml
num-traits	0.2.19	MIT OR Apache-2.0	vendor/num-traits/Cargo.toml
num_threads	0.1.7	MIT OR Apache-2.0	vendor/num_threads/Cargo.toml
objc2	0.6.1	MIT	vendor/objc2/Cargo.toml
objc2-core-foundation	0.3.1	Zlib OR Apache-2.0 OR MIT	vendor/objc2-core-foundation/Cargo.toml
objc2-encode	4.1.0	MIT	vendor/objc2-encode/Cargo.toml
objc2-foundation	0.3.1	MIT	vendor/objc2-foundation/Cargo.toml
once_cell	1.21.3	MIT OR Apache-2.0	vendor/once_cell/Cargo.toml
opaque-debug	0.3.1	MIT OR Apache-2.0	vendor/opaque-debug/Cargo.toml
open	5.3.2	MIT	vendor/open/Cargo.toml
option-ext	0.2.0	MPL-2.0	vendor/option-ext/Cargo.toml
ordered-float	2.10.1	MIT	vendor/ordered-float/Cargo.toml
ordered-multimap	0.7.3	MIT	vendor/ordered-multimap/Cargo.toml
ordered-stream	0.2.0	MIT OR Apache-2.0	vendor/ordered-stream/Cargo.toml
os_info	3.10.0	MIT	vendor/os_info/Cargo.toml
parking	2.2.1	Apache-2.0 OR MIT	vendor/parking/Cargo.toml
parking_lot	0.12.3	MIT OR Apache-2.0	vendor/parking_lot/Cargo.toml
parking_lot_core	0.9.10	MIT OR Apache-2.0	vendor/parking_lot_core/Cargo.toml
path-slash	0.2.1	MIT	vendor/path-slash/Cargo.toml
pathdiff	0.2.3	MIT/Apache-2.0	vendor/pathdiff/Cargo.toml
pathsearch	0.2.0	MIT	vendor/pathsearch/Cargo.toml
percent-encoding	2.3.1	MIT OR Apache-2.0	vendor/percent-encoding/Cargo.toml
pest	2.8.0	MIT OR Apache-2.0	vendor/pest/Cargo.toml
pest_derive	2.8.0	MIT OR Apache-2.0	vendor/pest_derive/Cargo.toml
pest_generator	2.8.0	MIT OR Apache-2.0	vendor/pest_generator/Cargo.toml
pest_meta	2.8.0	MIT OR Apache-2.0	vendor/pest_meta/Cargo.toml
phf	0.11.3	MIT	vendor/phf/Cargo.toml
phf_codegen	0.11.3	MIT	vendor/phf_codegen/Cargo.toml
phf_generator	0.11.3	MIT	vendor/phf_generator/Cargo.toml
phf_shared	0.11.3	MIT	vendor/phf_shared/Cargo.toml
pin-project-lite	0.2.16	Apache-2.0 OR MIT	vendor/pin-project-lite/Cargo.toml
